farmer_code,farmer_gender,farmer_age,farmer_experience,farmer_house_ownership_status,farmer_job_status,farmer_dependents,farmer_marital_status,farmer_other_job_status,farmer_other_job_type,farmer_financial_loan_history,farmer_financial_loan_performance,farmer_financial_monthly_income,farmer_insurance_status,farmer_savings_status,farmer_field_irrigation,farmer_field_range_to_water,farmer_planting_phase,farmer_planting_season,farming_frequency_in_year,farmer_seeds_certificate,farmer_seeds_type,farmer_seeds_variety,farmer_field_tiles,farmer_field_owned_area,farmer_field_proposed_area,proposed_field_size_ratio,farmer_field_ph,historical_harvest,farmer_last_year_harvest,farmer_last_year_expense,farmer_farming_failure_history,farmer_planting_rotation,farmer_partnership_eratani_history,farmer_credit_score,farmer_total_loan,farmer_repayment_status,farmer_count
PTN-6290,Male,45,14,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,4,Menikah,Tidak Ada,,Tidak Ada,,"10,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,Irigasi Teknis,40,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi hybrida,,,2,2,100,6,"3,750","15,000","30,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,70,"18,908,677",Outstanding,1
PTN-6400,Female,35,24,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,4,Menikah,Tidak Ada,,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,Irigasi Teknis,20,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi hybrida,,,2,2,100,5,"2,500","10,000","20,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,68,"18,908,677",Outstanding,1
PTN-6296,Female,52,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"3,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Tadah hujan,200,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1.5,1,66.67,5,"4,667","14,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,65,"11,045,546",Lunas,1
PTN-6295,Male,51,17,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Tadah hujan,200,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,2,2,100,5,"5,000","20,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,65,"22,091,091",Outstanding,1
PTN-6297,Male,49,7,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"3,500,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Tadah hujan,300,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"7,000","14,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"11,045,546",Lunas,1
PTN-6298,Male,57,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Tadah hujan,200,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,6,"5,000","10,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,66,"11,045,546",Lunas,1
PTN-6303,Male,47,7,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,4,Menikah,Tidak Ada,,Tidak Ada,,"3,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,6,"5,500","11,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,62,"11,045,546",Lunas,1
PTN-6302,Male,53,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Tadah hujan,100,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"6,000","12,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,045,546",Lunas,1
PTN-6300,Male,42,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,4,Menikah,Tidak Ada,,Tidak Ada,,"3,500,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,5,"5,000","10,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"11,045,546",Lunas,1
PTN-6306,Male,50,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"3,500,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Tadah hujan,200,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Biru,Padi Unggul/Inbrida,,,1,1,100,6,"5,000","10,000","10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"11,045,546",Lunas,1
