farmer_code,farmer_gender,farmer_age,farmer_experience,farmer_house_ownership_status,farmer_job_status,farmer_dependents,farmer_marital_status,farmer_other_job_status,farmer_other_job_type,farmer_financial_loan_history,farmer_financial_loan_performance,farmer_financial_monthly_income,farmer_insurance_status,farmer_savings_status,farmer_field_irrigation,farmer_field_range_to_water,farmer_planting_phase,farmer_planting_season,farming_frequency_in_year,farmer_seeds_certificate,farmer_seeds_type,farmer_seeds_variety,farmer_field_tiles,farmer_field_owned_area,farmer_field_proposed_area,proposed_field_size_ratio,farmer_field_ph,historical_harvest,farmer_last_year_harvest,farmer_last_year_expense,farmer_farming_failure_history,farmer_planting_rotation,farmer_partnership_eratani_history,farmer_credit_score,farmer_total_loan,farmer_repayment_status,farmer_count
PTN-11536,Male,48,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,500",,"10,000,000",Tidak Ada,Minimum 1x rotasi,Belum pernah,65,"10,631,053",Outstanding,1
PTN-11608,Male,59,16,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Tidak memiliki asuransi apapun,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,500",,"10,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"10,728,408",Outstanding,1
PTN-11472,Female,60,21,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"6,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,673,882",Outstanding,1
PTN-11440,Male,60,16,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"11,673,882",Outstanding,1
PTN-11457,Male,46,11,Milik keluarga,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim penghujan awal,2,Tidak bersertifikat,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"11,500,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,826,780",Outstanding,1
PTN-11425,Male,21,3,Milik keluarga,Penggarap dengan lahan sewa gadai,2,Belum Menikah,"Ada, Paruh Waktu",Lainnya,Tidak Ada,,"3,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Ciliwung,,0.5,0.5,100,,"6,000",,"3,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,56,"4,587,335",Outstanding,1
PTN-11397,Male,49,24,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,66,"10,979,256",Outstanding,1
PTN-11396,Male,60,25,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"5,500,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,Irigasi Teknis,50,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,5,"5,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,68,"10,979,256",Outstanding,1
PTN-11398,Female,22,4,Milik keluarga,Penggarap dengan lahan sewa dan bukan skema gadai,,Belum Menikah,"Ada, Wiraswasta",,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,30,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,5,"5,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,70,"5,729,712",Outstanding,1
PTN-11438,Male,56,15,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"11,673,882",Outstanding,1
PTN-11439,Male,43,15,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,4,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"7,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,673,882",Outstanding,1
PTN-11331,Male,36,9,Milik keluarga,Penggarap dengan lahan sewa dan bukan skema gadai,2,Belum Menikah,"Ada, Purna Waktu",Lainnya,Tidak Ada,,"5,000,000",Tidak memiliki asuransi apapun,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,0.5,0.5,100,,"7,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,63,"5,732,781",Outstanding,1
PTN-11330,Male,42,15,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,Lainnya,Tidak Ada,,"5,000,000",Tidak memiliki asuransi apapun,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,0.5,0.5,100,,"7,000",,"1,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,65,"5,732,781",Lunas,1
PTN-11329,Male,49,13,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Belum Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Tidak memiliki asuransi apapun,Memiliki rekening tabungan di bank atau lembaga keuangan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Ciherang,,0.5,0.5,100,,"7,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,66,"5,732,781",Lunas,1
PTN-11347,Female,59,25,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim peralihan,5,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"11,310,258",Outstanding,1
PTN-11342,Male,60,26,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,5,Menikah,Tidak Ada,,Tidak Ada,,"4,600,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,600",,"12,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,65,"11,310,258",Lunas,1
PTN-11340,Female,50,17,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Paruh Waktu",Lainnya,Tidak Ada,,"4,500,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,0.5,0.5,100,,"5,800",,"5,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,62,"5,866,526",Lunas,1
PTN-11339,Female,50,18,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Cerai Hidup,"Ada, Paruh Waktu",Lainnya,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",,,Masih Persiapan,Musim peralihan,5,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"5,700",,"11,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,62,"5,866,526",Lunas,1
PTN-11316,Female,45,9,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Cerai Hidup,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Tidak memiliki tabungan,,,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,,1,1,100,,"6,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,67,"10,808,030",Lunas,1
PTN-11277,Female,46,17,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Paruh Waktu",Lainnya,Ada,Lancar atau Lunas,"3,700,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,130,Masih Persiapan,Musim penghujan awal,3,Tidak bersertifikat,Padi Unggul/Inbrida,Logawa Premium,,1,0.5,50,,"5,700",,"6,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Sudah pernah 1x kerjasama dengan kondisi lancar,54,"8,408,260",Lunas,2
PTN-11269,Male,56,25,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,4,Menikah,Tidak Ada,,Tidak Ada,,"5,500,000",Memiliki asuransi Swasta,"Arisan, menabung di rumah",Irigasi Teknis,200,Sudah Ditanam,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,5,0.5,0.5,100,6,"5,000",,"20,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,64,"5,507,289",Lunas,1
PTN-11268,Male,35,12,Milik sendiri,Pemilik Lahan sekaligus penggarap lahan,3,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,300,Sudah Ditanam,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,7,1,1,100,6,"5,000",,"20,000,000",Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,66,"10,682,027",Outstanding,1
PTN-11267,Male,59,35,Milik sendiri,Penggarap dengan lahan sewa gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,100,Sudah Ditanam,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Inpari 47,11,1,1,100,6,"6,000",,"8,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"8,270,440",Outstanding,1
PTN-11266,Male,60,30,Milik sendiri,Penggarap dengan lahan sewa gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"7,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,50,Sudah Ditanam,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Inpari 32,9,1,1,100,5,"6,000",,"8,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,61,"8,270,440",Lunas,1
PTN-11265,Male,39,20,Milik sendiri,Penggarap dengan lahan sewa gadai,1,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,100,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Logawa Premium,7,0.5,0.5,100,6,"3,000",,"4,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,62,"4,143,439",Lunas,1
PTN-11274,Male,39,14,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,20,Masih Persiapan,Musim peralihan,3,Tidak bersertifikat,Padi Unggul/Inbrida,Inpari 32,14,2,1,50,6,"5,000",,"15,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,67,"11,117,869",Lunas,1
PTN-11272,Male,43,14,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,50,Masih Persiapan,Musim peralihan,3,Tidak bersertifikat,Padi lokal,Sunggul,14,2,1,50,6,"5,000",,"15,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,65,"11,117,869",Lunas,1
PTN-11273,Male,59,16,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,50,Masih Persiapan,Musim peralihan,3,Tidak bersertifikat,Padi Unggul/Inbrida,Inpari 32,14,2,1,50,6,"5,000",,"15,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,66,"11,117,869",Lunas,1
PTN-11270,Male,53,15,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,50,Masih Persiapan,Musim peralihan,3,Tidak bersertifikat,Padi Unggul/Inbrida,Inpari 32,14,2,1,50,6,"5,000",,"15,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,66,"11,117,869",Lunas,1
PTN-11260,Female,52,15,Milik keluarga,Penggarap dengan lahan sewa gadai,3,Cerai Hidup,Tidak Ada,,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,100,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,7,1,1,100,6,"5,000",,"10,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,61,"12,261,519",Outstanding,1
PTN-11264,Male,52,30,Milik sendiri,Penggarap dengan lahan sewa gadai,1,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,100,Masih Persiapan,Musim penghujan awal,3,Tidak bersertifikat,Padi Unggul/Inbrida,Tiwi 2,7,0.5,0.5,100,6,"6,000",,"4,900,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Sudah pernah 1x kerjasama dengan kondisi lancar,59,"4,143,439",Lunas,2
PTN-11244,Male,48,16,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Paruh Waktu",Lainnya,Ada,Lancar atau Lunas,"3,500,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,180,Masih Persiapan,Musim penghujan awal,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Inpari 32,,0.5,0.5,100,,"6,000",,"5,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Sudah pernah 1x kerjasama dengan kondisi lancar,56,"4,202,866",Lunas,1
PTN-11245,Male,32,6,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Paruh Waktu",Lainnya,Ada,Lancar atau Lunas,"4,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,120,Masih Persiapan,Musim penghujan awal,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Inpari 32,4,0.5,0.5,100,6,"6,000",,"5,100,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Sudah pernah 1x kerjasama dengan kondisi lancar,59,"4,202,866",Lunas,2
PTN-11246,Female,47,17,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Paruh Waktu",Lainnya,Ada,Lancar atau Lunas,"3,500,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,120,Masih Persiapan,Musim penghujan awal,3,Tidak bersertifikat,Padi Unggul/Inbrida,Logawa Premium,5,0.5,0.5,100,5,"6,000",,"5,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Sudah pernah 1x kerjasama dengan kondisi lancar,58,"4,202,866",Lunas,2
PTN-11150,Male,49,23,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Purna Waktu",Lainnya,Ada,Lancar atau Lunas,"6,000,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,80,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Ungu,Padi Unggul/Inbrida,Inpari 32,12,1,1,100,6,"6,200",,"12,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,58,"8,408,260",Lunas,1
PTN-11112,Male,52,11,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Cerai Hidup,Tidak Ada,,Tidak Ada,,"3,800,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,10,Masih Persiapan,Musim penghujan awal,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,10,1,1,100,5,"5,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,68,"10,351,088",Lunas,2
PTN-11096,Female,51,33,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Purna Waktu",Lainnya,Tidak Ada,,"1,500,000",Memiliki asuransi BPJS atau KIS,Deposito atau investasi,Irigasi Teknis,100,Masih Persiapan,Musim penghujan awal,3,Bersertifikat - Label Biru,Padi hybrida,Intani 2,4,1,0.5,50,6,"6,000",,"1,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,64,"4,822,216",Outstanding,1
PTN-11094,Female,40,18,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,"Ada, Purna Waktu",Lainnya,Tidak Ada,,"2,000,000",Memiliki asuransi BPJS atau KIS,Deposito atau investasi,Irigasi Teknis,100,Masih Persiapan,Musim penghujan awal,3,Bersertifikat - Label Biru,Padi hybrida,Intani 2,3,2,1,50,6,"6,000",,"2,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,64,"4,822,216",Outstanding,1
PTN-11091,Male,48,11,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,Tidak Ada,,Tidak Ada,,"3,800,000",Memiliki asuransi BPJS atau KIS,"Arisan, menabung di rumah",Irigasi Teknis,20,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,11,1,1,100,5,"5,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,66,"10,351,088",Lunas,2
PTN-11079,Male,60,11,Milik sendiri,Pemilik Lahan sekaligus penggarap lahan,1,Menikah,Tidak Ada,,Tidak Ada,,"4,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,20,Masih Persiapan,Musim kemarau,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Inpari 32,14,0.91,1,109.89,5,"5,000",,"10,000,000",Tidak Ada,Minimum 1x rotasi,Belum pernah,68,"10,351,088",Lunas,2
PTN-11090,Female,53,35,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,800,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,90,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,4,0.65,0.5,76.92,6,"5,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,69,"6,344,968",Lunas,1
PTN-11088,Male,31,3,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,500,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,98,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,3,0.5,0.5,100,6,"5,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,67,"6,344,968",Lunas,1
PTN-11087,Male,48,25,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,700,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,80,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,7,0.8,1,125,6,"5,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,67,"12,025,250",Lunas,1
PTN-11086,Male,57,27,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"6,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,9,1.8,2,111.11,6,"6,000",,"10,600,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,68,"24,050,500",Lunas,1
PTN-11085,Female,40,21,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,3,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"5,000,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,93,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,12,1,1,100,6,"6,000",,"10,500,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,69,"12,025,250",Lunas,1
PTN-11084,Female,42,16,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,900,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,80,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,2,0.5,0.5,100,6,"5,000",,"10,400,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,67,"6,344,968",Lunas,1
PTN-11083,Male,43,17,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,800,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,93,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,3,1,1,100,6,"7,000",,"10,300,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,69,"12,025,250",Lunas,1
PTN-11082,Female,53,18,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,700,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,95,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,2,0.5,0.5,100,6,"5,000",,"10,200,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,66,"6,344,968",Lunas,1
PTN-11081,Female,27,5,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,600,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,90,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,4,0.85,1,117.65,6,"6,100",,"10,100,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,69,"12,025,250",Lunas,1
PTN-11080,Male,53,20,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,2,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"4,500,000",Memiliki asuransi BPJS atau KIS,Memiliki rekening tabungan di bank atau lembaga keuangan,Irigasi Teknis,100,Masih Persiapan,Musim peralihan,2,Bersertifikat - Label Putih/Kuning,Padi Unggul/Inbrida,Ciherang,3,0.5,0.5,100,6,"6,000",,"10,000,000",Tidak Ada,Tidak di rotasi tetapi hanya tanam 2 siklus,Belum pernah,67,"6,344,968",Lunas,1
PTN-11048,Female,51,10,Milik sendiri,Penggarap dengan lahan sewa dan bukan skema gadai,1,Menikah,"Ada, Wiraswasta",,Tidak Ada,,"9,500,000",Memiliki asuransi pribadi,"Arisan, menabung di rumah",Irigasi Teknis,200,Masih Persiapan,Musim peralihan,3,Bersertifikat - Label Biru,Padi Unggul/Inbrida,Inpari 32,5,2,2,100,6,"5,000",,"10,000,000",Tidak Ada,Tanpa rotasi tanaman atau terus menerus ditanami padi,Belum pernah,73,"21,870,327",Outstanding,1
